movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,787253
盗梦空间,2,9.2,729523
大话西游之大圣娶亲,3,9.2,462430
疯狂动物城,4,9.2,453200
指环王3：王者无敌,5,9.1,273464
七武士,6,9.1,69726
搏击俱乐部,7,9.0,389992
蝙蝠侠：黑暗骑士,8,9.0,299735
大话西游之月光宝盒,9,8.9,376066
指环王1：魔戒再现,10,8.9,288242
指环王2：双塔奇兵,11,8.9,258429
攻壳机动队,12,8.9,53536
将军号,13,8.9,6450
V字仇杀队,14,8.8,391560
勇敢的心,15,8.8,283586
黑客帝国,16,8.8,262640
用心棒,17,8.8,12477
桥,18,8.8,11120
攻壳机动队SSS,19,8.8,9071
铁达尼号沉没记,20,8.8,4883
让子弹飞,21,8.7,590145
血战钢锯岭,22,8.7,256131
谍影重重3,23,8.7,168723
英雄本色,24,8.7,135631
纵横四海,25,8.7,129947
东邪西毒：终极版,26,8.7,85130
小萝莉的猴神大叔,27,8.7,64620
精英部队2：大敌当前,28,8.7,43914
乱,29,8.7,30588
黑客帝国动画版,30,8.7,29918
芭萨提的颜色,31,8.7,8989
椿三十郎,32,8.7,7829
阿凡达,33,8.6,499100
超能陆战队,34,8.6,334603
加勒比海盗,35,8.6,311627
东邪西毒,36,8.6,233049
枪火,37,8.6,88170
恶童,38,8.6,45646
宾虚,39,8.6,17784
蝙蝠侠：黑暗骑士归来(下),40,8.6,14684
碧血金沙,41,8.6,3608
落叶,42,8.6,3580
蝙蝠侠：黑暗骑士崛起,43,8.5,270715
被解救的姜戈,44,8.5,239638
疯狂的麦克斯4：狂暴之路,45,8.5,192466
谍影重重,46,8.5,177172
谍影重重2,47,8.5,146610
黑客帝国3：矩阵革命,48,8.5,140511
勇闯夺命岛,49,8.5,131609
终结者2：审判日,50,8.5,129529
黑鹰坠落,51,8.5,99319
启示,52,8.5,42036
敲开天堂的门,53,8.5,7537
午夜狂奔,54,8.5,7519
西线无战事,55,8.5,6824
大菩萨岭,56,8.5,4765
兽兵卫忍风帖,57,8.5,4332
盗信情缘,58,8.5,3143
福禄双霸天,59,8.5,1619
通往自由的通道,60,8.5,1511
王牌特工：特工学院,61,8.4,306591
速度与激情5,62,8.4,203222
变脸,63,8.4,198442
新龙门客栈,64,8.4,166371
罪恶之城,65,8.4,131204
角斗士,66,8.4,119651
暗战,67,8.4,107614
神探,68,8.4,97330
黄海,69,8.4,72670
王牌对王牌,70,8.4,61473
盗火线,71,8.4,61188
杀死比尔整个血腥事件,72,8.4,9878
蜘蛛巢城,73,8.4,8227
侠女,74,8.4,6883
最长的一天,75,8.4,6702
红线,76,8.4,3678
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,77,8.4,3470
死亡的游戏,78,8.4,1874
忍者小英雄,79,8.4,1008
源代码,80,8.3,377395
速度与激情7,81,8.3,245986
金刚狼3：殊死一战,82,8.3,169521
黑客帝国2：重装上阵,83,8.3,131572
买凶拍人,84,8.3,88593
银河护卫队2,85,8.3,83965
热血警探,86,8.3,80324
笑傲江湖2：东方不败,87,8.3,79673
星球大战,88,8.3,57635
太极旗飘扬,89,8.3,50135
喋血双雄,90,8.3,33903
一个字头的诞生,91,8.3,29134
荒野大镖客,92,8.3,18785
阿基拉,93,8.3,18021
精武门,94,8.3,13637
日落黄沙,95,8.3,4388
胜利之光,96,8.3,4220
菜鸟总动员：毕业,97,8.3,2271
飞出个未来大电影2：万背之兽,98,8.3,2093
冰海沉船,99,8.3,2050
孟菲斯美女号,100,8.3,1822
摔角狂热 30,101,8.3,1015
西游记之大圣归来,102,8.2,356386
釜山行,103,8.2,324834
碟中谍4,104,8.2,248082
X战警：逆转未来,105,8.2,237522
第九区,106,8.2,213441
霍比特人3：五军之战,107,8.2,185391
霍比特人2：史矛革之战,108,8.2,184751
铁甲钢拳,109,8.2,154182
无间道2,110,8.2,146250
蝙蝠侠：侠影之谜,111,8.2,124894
飓风营救,112,8.2,120888
星球大战前传3：西斯的复仇,113,8.2,51199
星球大战2：帝国反击战,114,8.2,45308
天国王朝,115,8.2,43072
星球大战3：绝地归来,116,8.2,42167
最终幻想7：圣子降临,117,8.2,38824
处刑人,118,8.2,31486
雌雄大盗,119,8.2,20833
猛龙过江,120,8.2,16664
追捕,121,8.2,14988
卡桑德拉大桥,122,8.2,14268
大都会,123,8.2,12904
正义联盟：闪点悖论,124,8.2,9528
蝙蝠侠：红影迷踪,125,8.2,6011
奏鸣曲,126,8.2,5669
白色严冬,127,8.2,5576
老人Z,128,8.2,5022
关山飞渡,129,8.2,4050
战国英豪,130,8.2,3676
机动警察剧场版1,131,8.2,3593
桃色血案,132,8.2,3308
山中传奇,133,8.2,2699
天与地,134,8.2,2633
迎春阁之风波,135,8.2,2190
战略大作战,136,8.2,1947
红河,137,8.2,1348
疤面人,138,8.2,1172
变形金刚,139,8.1,224841
霍比特人1：意外之旅,140,8.1,215063
加勒比海盗2：聚魂棺,141,8.1,178754
X战警：第一战,142,8.1,173051
国产凌凌漆,143,8.1,147653
罗拉快跑,144,8.1,145305
师父,145,8.1,133503
孤胆特工,146,8.1,111728
空中监狱,147,8.1,106667
真实的谎言,148,8.1,93564
精武英雄,149,8.1,48525
英雄本色2,150,8.1,48048
虎胆龙威,151,8.1,44205
第一滴血,152,8.1,41604
怒火救援,153,8.1,39102
监狱风云,154,8.1,36585
西北偏北,155,8.1,35271
夺宝奇兵3,156,8.1,32337
枪王,157,8.1,30199
野战排,158,8.1,23201
爱国者,159,8.1,22537
喋血街头,160,8.1,18276
乐高蝙蝠侠大电影,161,8.1,17519
爱的曝光,162,8.1,14172
小倩,163,8.1,13072
龙争虎斗,164,8.1,10499
虎！虎！虎！,165,8.1,9549
变形金刚大电影,166,8.1,3213
痛击,167,8.1,3000
大饭店,168,8.1,2588
跳跃大搜查线：湾岸署史上最恶的3日间,169,8.1,2333
血染雪山堡,170,8.1,1665
忠烈图,171,8.1,1321
湄公河行动,172,8.0,314616
复仇者联盟,173,8.0,300696
功夫熊猫2,174,8.0,255424
明日边缘,175,8.0,227726
银河护卫队,176,8.0,222022
猩球崛起,177,8.0,221573
后天,178,8.0,195633
杀死比尔,179,8.0,177042
加勒比海盗3：世界的尽头,180,8.0,168098
大逃杀,181,8.0,124126
树大招风,182,8.0,105352
暗杀,183,8.0,102687
天生杀人狂,184,8.0,72836
暴力街区,185,8.0,72360
生死时速,186,8.0,68904
国家公敌,187,8.0,68477
秘密特工,188,8.0,68336
守望者,189,8.0,64631
星球大战前传1：幽灵的威胁,190,8.0,58165
未知死亡,191,8.0,47804
天若有情,192,8.0,25902
座头市,193,8.0,23916
囚室211,194,8.0,23852
亡命天涯,195,8.0,20213
魁拔Ⅲ战神崛起,196,8.0,17771
飞天小女警 剧场版,197,8.0,16496
实尾岛,198,8.0,15983
双旗镇刀客,199,8.0,15471
佐罗,200,8.0,10064
少年菀得,201,8.0,9730
龙门客栈,202,8.0,5491
野鹅敢死队,203,8.0,4821
新独臂刀,204,8.0,4436
蝙蝠侠：元年,205,8.0,4074
遥远的桥,206,8.0,3450
天劫余生,207,8.0,3278
侠僧探案传奇之大夜叉,208,8.0,2483
笑破铁幕,209,8.0,2170
血洗鳄鱼仇,210,8.0,1573
众神与将军,211,8.0,1210
功夫熊猫,212,7.9,280727
美国队长2,213,7.9,201487
疯狂的赛车,214,7.9,164319
卧虎藏龙,215,7.9,158467
黑衣人,216,7.9,148600
星际迷航2：暗黑无界,217,7.9,144417
我，机器人,218,7.9,131748
独立日,219,7.9,130288
碟中谍,220,7.9,121433
第五元素,221,7.9,119690
十一罗汉,222,7.9,99756
星际迷航,223,7.9,93772
终结者,224,7.9,90462
危情三日,225,7.9,58422
异形2,226,7.9,50025
狗咬狗,227,7.9,37316
少林寺,228,7.9,33344
孤独的幸存者,229,7.9,27946
精英部队,230,7.9,26262
决战犹马镇,231,7.9,23060
猎杀U-571,232,7.9,21701
辣手神探,233,7.9,18697
警戒结束,234,7.9,17710
刀,235,7.9,16870
太阳帝国,236,7.9,13059
蝙蝠侠：黑暗骑士归来(上),237,7.9,12793
斯巴达克斯,238,7.9,5897
洛奇3,239,7.9,4797
势不两立,240,7.9,3908
省港旗兵4：地下通道,241,7.9,2679
飞出个未来大电影3：班德的游戏,242,7.9,2428
报仇,243,7.9,1639
达摩祖师,244,7.9,1520
